longitude,latitude,objectid,hydroid,ahgfftype,name,perennial,netnodeid,mapnodeid,wstoreuse,wstorname,wstorsyst,wstorurl,srcfcname,srcftype,srctype,sourceid,featrel,fsource,attrrel,attrsource,planacc,symbol,textnote,albersarea,concatid,demh,wstorid,globalid,Shape__Area,Shape__Length
132.98385864492803,-12.282912918714306,7,102196459,27, ,Perennial,101852958.0,,,,,,Flats,Swamp,4,4051927.0,1978/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,1978/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,9999,, ,222918799.625185,238078.0,0,,de81be05-1d67-412b-9e6f-7591fc34af5c,234917262.373047,268157.587177559
135.0565067486119,-12.576101449210913,25,102196477,27,ARAFURA SWAMP (MUCKANINNIE PLAINS),Perennial,101894752.0,,,,,,Flats,Swamp,4,4052533.0,1971/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,1971/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,9999,, ,657903108.990492,114577.0,0,,f4b5f731-8b92-41d6-bbaa-c17a992cdf6e,694860639.208984,407011.464872584
132.84458842356707,-12.40871224703254,340,102196792,27, ,Perennial,101850252.0,,,,,,Flats,Swamp,4,4069839.0,1978/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,1978/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,9999,, ,155164918.383363,238087.0,0,,a2b19b9c-c355-48ab-9736-b0f1e57c4b11,163671901.169922,236830.603094631
132.1248479375534,-12.500714545699468,453,102196905,27, ,Perennial,101831107.0,,,,,,Flats,Swamp,4,4075271.0,1997/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,1997/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,9999,, ,133039601.57582,237505.0,0,,8d6890d6-442d-45c3-8199-8b5179918a76,140431728.306641,179082.534803942
128.7629061527685,-16.314495416542336,9798,102206251,25,LAKE ARGYLE,Perennial,101909496.0,,ReservoirTown,Argyle (Ord River),Ord River and Tributaries,http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Argyle%20(Ord%20River),Reservoirs,Town Water Storage,3,3025354.0,2010/07/08 00:00:00+00,GEOSCIENCE AUSTRALIA,2021/04/24 00:00:00+00,GEOSCIENCE AUSTRALIA,30,,SLAKE,1004587244.23113,239819.0,0,1001.0,7f0e7b38-8b2c-48fa-ac2b-4fbffe83aa5f,1096846432.62695,839615.888496287
115.72122040702551,-32.600806379321014,49981,70410546,26,PEEL INLET,Perennial,70295403.0,,,,,,Lakes,Lake,0,11882776.0,2008/12/29 00:00:00+00,GEOSCIENCE AUSTRALIA,2012/01/20 00:00:00+00,GEOSCIENCE AUSTRALIA,30,, ,77430136.3368754,179069.0,0,,0bcdfe3c-0daf-4de5-a2fd-13271623e121,109409404.980469,75753.2378811015
150.7348871595983,-35.06312029131371,50275,29048816,26,JERVIS BAY,Perennial,29022267.0,,,,,,Lakes,Lake,0,12825088.0,2001/02/08 00:00:00+00,LPI,2001/02/08 00:00:00+00,LPI,10,, ,123772550.826135,329307.0,0,,ce82faf4-6a22-4670-a51c-60a9178b8836,185166466.375,74520.4734606376
151.59048520057277,-33.077143192078246,50394,29048935,26,LAKE MACQUARIE,Perennial,29027188.0,,,,,,Lakes,Lake,0,12832759.0,2001/06/11 00:00:00+00,LPI,2001/06/11 00:00:00+00,LPI,10,, ,106486265.519515,330229.0,0,,29073a10-f220-477b-9e14-9aa2322c1086,152074091.683594,224975.174817792
150.4032534647097,-34.00254754598351,50427,29048968,25,LAKE BURRAGORANG,Perennial,29020678.0,,ReservoirTown,Warragamba,Sydney South Coast,http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Warragamba,Reservoirs,Town Water Storage,3,12831306.0,2008/01/12 00:00:00+00,LPI,2008/01/12 00:00:00+00,LPI,10,,SLAKE,71907880.3791203,110681.0,0,1285.0,cc1b3eb9-2ba3-44c7-8146-4866bb4c9398,104894419.945312,447379.434158319
152.48757483922722,-32.25754905674668,50823,26960069,26,WALLIS LAKE,Perennial,26874172.0,,,,,,Lakes,Lake,0,12828800.0,1984/01/01 00:00:00+00,LPI,1984/01/01 00:00:00+00,LPI,20,, ,74325058.6034674,345975.0,0,,0487afbe-6ad8-43b8-98c3-28bf89571469,104233112.246094,185422.385325168
146.97421166091445,-20.687428297191254,55415,16644338,25,LAKE DALRYMPLE,Perennial,16408512.0,,ReservoirTown,Burdekin Falls,Burdekin Basin,http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Burdekin%20Falls,Reservoirs,Town Water Storage,3,21843404.0,2009/06/20 00:00:00+00,DNRM,2002/08/23 00:00:00+00,DNRM,12,,SLAKE,264791858.831561,113114.0,0,1024.0,f3497856-c008-41b0-9312-a7872e5767eb,304081345.203125,989885.87517818
142.3480844425109,-28.769773768609983,55768,113269013,27,BULLOO LAKE,Perennial,113207913.0,,,,,,Flats,Swamp,4,4083299.0,1969/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,1969/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,9999,,lignum swamp,327621340.923999,282951.0,0,,7dc57819-6aac-447e-b5eb-0d471aab46d9,427935162.195312,508455.274716087
142.5850679091372,-28.64689744890064,55769,113269014,27, ,Perennial,113211532.0,,,,,,Flats,Swamp,4,4069940.0,1969/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,1969/01/01 00:00:00+00,GEOSCIENCE AUSTRALIA,9999,, ,120889223.980164,-9999.0,0,,a9e0cb59-81ea-4f46-b49f-5c61689c4626,157531878.292969,392208.236007255
147.99822665924492,-23.693257462307454,59539,12114067,25,LAKE MARABOON,Perennial,11627958.0,,ReservoirTown,Fairbairn,Fitzroy Basin,http://www.bom.gov.au/water/dashboards/#/water-storages/sites/state?storage=Fairbairn,Reservoirs,Town Water Storage,3,21761385.0,2009/06/10 00:00:00+00,DNRM,2002/09/12 00:00:00+00,DNRM,12,,SLAKE,149914782.820019,353897.0,0,1061.0,1f75171c-832b-4bdd-aa17-5f58cb10ec64,179600048.71875,309809.412567656
