City,lat,lon,opt_lat,opt_lon,optimumvalue
Sydney,-33.8688,151.2093,-28.57226616,152.0849967,4917.2963014159
Brisbane,-27.4698,153.0251,-34.41032375,117.0061528,6517.74775913211
Perth,-31.9505,115.8605,-30.44983359,112.21977083,47875.0039179316
Hobart,-41.4545,147.1349,-26.91172786,110.73719726,12636.2992304955
Sydney,-33.8688,151.2093,-28.57226616,152.0849967,4917.2963014159
Canberra,-35.2809,149.13,-20.85637516,111.42759746,12898.3286543583
Gold Coast,-28.0167,153.4,-31.59812423,155.20531177,3890.90194308633
Newcastle,-33.4468,151.012,-28.72103393,154.61591929,3195.65341163468
Geelong,-37.7715,145.0328,-23.8359386,148.70316731,2388.88080580633
Central Coast (Gosford),-33.8175,151.2165,-25.78869918,146.98640055,3010.65358975098
Bundaberg,-24.8585,152.3494,-23.90810652,148.67475043,3354.09514521866
Coffs Harbour,-29.2042,152.663,-28.65772104,151.01096853,5161.63043712471
Sunshine Coast,-27.731,153.002,-28.49512652,154.59341355,4963.12313869421
